Timestamp,Rastreio,Status,Mensagem,Video_Evidence
2026-01-09 10:30:22,BR2683183849434,SUCESSO,NF: 000003819,NF_000003819_104037.mp4
2026-01-09 10:30:49,BR2644663754630,ERRO,Rastreio nao encontrado,
2026-01-09 10:40:37,BR2683183849434,SUCESSO,NF: 000003819,NF_000003819_104037.mp4
2026-01-09 10:41:12,BR2644663754630,ERRO,Rastreio nao encontrado,
2026-01-09 10:51:03,BR2644663754630,ERRO,Rastreio nao encontrado,
2026-01-09 15:48:14,BR267385420467Z,SUCESSO,NF: 000003810,NF000003810.mp4
2026-01-09 15:48:36,BR256445929969C,ERRO,Rastreio nao encontrado,
2026-01-09 15:48:44,BR2644663754630,SUCESSO,NF: 000003814,NF000003814.mp4
2026-01-09 15:52:24,BR2644663754630,SUCESSO,NF: 000003814,NF000003814.mp4
2026-01-09 16:02:51,BR2644663754630,DUPLICADO,NF: 000003814,
2026-01-09 16:02:56,BR256445929969C,ERRO,Rastreio nao encontrado,
